g
gen
el
els
ml
mlen
tl
tlen
bakje
bakjes
zakje
zakjes
gram
grammen
zak
zakken
pakje
pakjes
takje
takjes
pak
pakken
pot
potten
blik
blikken
sneetje
sneetjes
plakje
plakjes
potje
potjes
liter
liters
plak
plakken
blaadje
blaadjes
dl
dlen
deciliter
deciliters
schaaltje
schaaltjes
bol
bollen
schaal
schalen
blikje
blikjes
mespunt
mespunten
flesje
flesjes
kg
kgen
kilogram
kilogrammen
kilo
kilo's
beker
bekers
bak
bakken
doosje
doosjes
bolletje
bolletjes
fles
flessen
stuk
stukken
teen
teens
sprietje
sprietjes
zakjes
zakjessen
bekertje
bekertjes
teentje
teentjes
cup
cuppen
krop
kroppen
stengel
stengels
portie
porties
cm
cmen
stukje
stukjes
tablet
tabletten
bos
bozen
struik
struiken
bosje
bosjes
kuipje
kuipjes
doos
doozen
handje
handjes
kropje
kropjes
duopak
duopakken
plukje
plukjes
tube
tubes
spuitbus
spuitbussen
schijf
schijven
snufje
snufjes
druppels
druppelzen
duopakje
duopakjes
kopje
kopjes
vel
vels
struikje
struikjes
druppel
druppels
halve
halves
duobak
duobakken
mespuntje
mespuntjes
pakket
pakketten
blad
bladeren
stronk
stronken
strong
strongen
handjevol
handjevollen
hele
heles
rollen
rollens
duozakje
duozakjes
emmer
emmers
balletje
balletjes
blok
blokken
partje
partjes
sprays
sprayzen
stick
sticken
brood
broden
duobakje
duobakjes
reep
repen
minibolletje
minibolletjes
klont
klonten
eetlepel
eetlepels
theelepel
theelepels
