g
el
ml
tl
bakje
zakje
gram
zak
pakje
takje
pak
pot
blik
sneetje
plakje
potje
liter
plak
blaadje
dl
deciliter
schaaltje
bol
schaal
blikje
mespunt
flesje
kg
kilogram
kilo
beker
bak
doosje
bolletje
fles
stuk
teen
sprietje
zakjes
bekertje
teentje
cup
krop
stengel
portie
cm
stukje
tablet
bos
struik
bosje
kuipje
doos
handje
kropje
duopak
plukje
tube
spuitbus
schijf
snufje
druppels
duopakje
kopje
vel
struikje
druppel
halve
duobak
mespuntje
pakket
blad
stronk
strong
handjevol
hele
rollen
duozakje
emmer
balletje
blok
partje
sprays
stick
brood
duobakje
reep
minibolletje
klont
eetlepel
theelepel
