"date"	"ocr_url"	"page"	"title"	sv	0.0
"1987-12-11 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856951:mpeg21:a0239"	15	"volkskrant"	nl	0.8949152542372881
"1987-12-05 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856946:mpeg21:a0590"	55	"volkskrant"	nl	0.9501661129568106
"1987-12-16 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856955:mpeg21:a0221"	19	"volkskrant"	nl	0.8409785932721713
"1987-12-12 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856952:mpeg21:a0749"	55	"volkskrant"	nl	0.9702380952380952
"1987-12-29 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856964:mpeg21:a0218"	19	"volkskrant"	nl	0.8540372670807453
"1987-12-30 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856965:mpeg21:a0203"	17	"volkskrant"	nl	0.8639455782312925
"1987-11-30 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856996:mpeg21:a0121"	11	"volkskrant"	nl	0.9522292993630573
"1987-12-19 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856958:mpeg21:a0676"	57	"volkskrant"	nl	0.9020979020979021
"1987-11-27 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856994:mpeg21:a0259"	15	"volkskrant"	nl	0.8840125391849529
"1987-12-24 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856962:mpeg21:a0353"	13	"volkskrant"	nl	0.7014492753623188
"1987-11-11 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857005:mpeg21:a0227"	17	"volkskrant"	nl	0.8754863813229572
"1987-11-28 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856995:mpeg21:a0732"	57	"volkskrant"	nl	0.9221183800623053
"1987-11-18 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857011:mpeg21:a0264"	19	"volkskrant"	nl	0.8609271523178808
"1987-11-07 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857002:mpeg21:a0692"	57	"volkskrant"	nl	0.9232954545454546
"1987-11-19 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857012:mpeg21:a0291"	27	"volkskrant"	nl	0.8379446640316206
"1987-11-23 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857015:mpeg21:a0121"	9	"volkskrant"	nl	0.8763250883392226
"1987-11-25 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857017:mpeg21:a0234"	19	"volkskrant"	nl	0.936046511627907
"1987-11-21 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857014:mpeg21:a0655"	55	"volkskrant"	nl	0.9339622641509434
"1987-09-02 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857020:mpeg21:a0231"	17	"volkskrant"	nl	0.9553264604810997
"1987-09-01 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857019:mpeg21:a0252"	21	"volkskrant"	nl	0.9503105590062112
"1987-09-04 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857022:mpeg21:a0265"	15	"volkskrant"	nl	0.883495145631068
"1987-09-09 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857026:mpeg21:a0237"	21	"volkskrant"	nl	0.8878787878787879
"1987-09-10 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857027:mpeg21:a0277"	25	"volkskrant"	nl	0.8557046979865772
"1987-09-14 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857030:mpeg21:a0112"	9	"volkskrant"	nl	0.8681318681318682
"1987-09-11 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857028:mpeg21:a0264"	15	"volkskrant"	nl	0.8364312267657993
"1987-09-16 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857032:mpeg21:a0266"	25	"volkskrant"	nl	0.8685897435897436
"1987-09-24 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857038:mpeg21:a0254"	25	"volkskrant"	nl	0.8833922261484098
"1987-09-25 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857039:mpeg21:a0248"	15	"volkskrant"	nl	0.8495297805642633
"1987-09-28 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857042:mpeg21:a0102"	11	"volkskrant"	nl	0.8726114649681529
"1987-09-19 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857035:mpeg21:a0615"	53	"volkskrant"	nl	0.9082278481012658
"1987-09-30 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857044:mpeg21:a0207"	19	"volkskrant"	nl	0.8993055555555556
"1987-09-26 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010857040:mpeg21:a0678"	57	"volkskrant"	nl	0.9347826086956522
"1987-08-07 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856689:mpeg21:a0164"	11	"volkskrant"	nl	0.9372549019607843
"1987-08-10 00:00:00"	"http://resolver.kb.nl/resolve?urn=ABCDDD:010856691:mpeg21:a0119"	8	"volkskrant"	nl	0.9369627507163324
