Ingredient	DBpedia_link_via_stringmatch	Judgment_stringmatch	Scientific_name_via_stringmatch	dbpedia-en_via_stringmatch	DBpedia_via_spotlight	Judgment_spotlight	spotlight_conf	spotlight_support	Scientific_name_via_spotlight	dbpedia-en_via_spotlight	
peterselie	http://nl.dbpedia.org/resource/Peterselie	1	Petroselinum crispum	http://dbpedia.org/resource/Parsley	http://nl.dbpedia.org/resource/Peterselie	1	0.9999987461	128	Petroselinum crispum	http://dbpedia.org/resource/Parsley	
koriander	http://nl.dbpedia.org/resource/Koriander	1	Coriandrum sativum	http://dbpedia.org/resource/Coriander	http://nl.dbpedia.org/resource/Koriander	1	0.999998731	122	Coriandrum sativum	http://dbpedia.org/resource/Coriander	
basilicum	http://nl.dbpedia.org/resource/Basilicum	1	Ocimum	http://dbpedia.org/resource/Basil	http://nl.dbpedia.org/resource/Basilicum_(soort)	1	0.9892858576	92			
munt	http://nl.dbpedia.org/resource/Munt	1		http://dbpedia.org/resource/Munt		0					
bieslook	http://nl.dbpedia.org/resource/Bieslook	1	Allium schoenoprasum	http://dbpedia.org/resource/Chives	http://nl.dbpedia.org/resource/Bieslook	1	0.9999988723	54	Allium schoenoprasum	http://dbpedia.org/resource/Chives	
platte peterselie		0			http://nl.dbpedia.org/resource/Peterselie	1	0.9999989501	128	Petroselinum crispum	http://dbpedia.org/resource/Parsley	
olijfolie	http://nl.dbpedia.org/resource/Olijfolie	1		http://dbpedia.org/resource/Olive_oil	http://nl.dbpedia.org/resource/Olijfolie	1	0.9999986665	218		http://dbpedia.org/resource/Olive_oil	
rucola	http://nl.dbpedia.org/resource/Rucola	1		http://dbpedia.org/resource/Eruca_sativa	http://nl.dbpedia.org/resource/Zwaardherik	1	0.9999966165	21			
crème fraîche		0			http://nl.dbpedia.org/resource/Crème_fraîche	1	0.9999998833	20		http://dbpedia.org/resource/Crème_fraîche	
slagroom	http://nl.dbpedia.org/resource/Slagroom	1		http://dbpedia.org/resource/Whipped_cream	http://nl.dbpedia.org/resource/Slagroom	1	0.9999993307	111		http://dbpedia.org/resource/Whipped_cream	
boter		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975609982	412		http://dbpedia.org/resource/Butter	
dille	http://nl.dbpedia.org/resource/Dille	1	Anethum graveolens	http://dbpedia.org/resource/Dill		0					
Parmezaanse kaas		0			http://nl.dbpedia.org/resource/Parmezaanse_kaas	1	1	30		http://dbpedia.org/resource/Parmigiano-Reggiano	
knoflook	http://nl.dbpedia.org/resource/Knoflook	1	Allium sativum	http://dbpedia.org/resource/Garlic	http://nl.dbpedia.org/resource/Knoflook	1	0.99999858	289	Allium sativum	http://dbpedia.org/resource/Garlic	
poedersuiker	http://nl.dbpedia.org/resource/Poedersuiker	1		http://dbpedia.org/resource/Powdered_sugar	http://nl.dbpedia.org/resource/Poedersuiker	1	0.9999990031	40		http://dbpedia.org/resource/Powdered_sugar	
zwarte olijven		0			http://nl.dbpedia.org/resource/Olijf	1	0.9999993349	328	Olea europaea	http://dbpedia.org/resource/Olive	
frambozen		0			http://nl.dbpedia.org/resource/Framboos	1	0.9999988899	128	Rubus idaeus	http://dbpedia.org/resource/Raspberry	
Griekse yoghurt		0			http://nl.dbpedia.org/resource/Yoghurt	1	0.9999997668	175		http://dbpedia.org/resource/Yogurt	
spinazie	http://nl.dbpedia.org/resource/Spinazie	1	Spinacia oleracea	http://dbpedia.org/resource/Spinach	http://nl.dbpedia.org/resource/Spinazie	1	0.9999984982	166	Spinacia oleracea	http://dbpedia.org/resource/Spinach	
olijfolie extra vierge		0			http://nl.dbpedia.org/resource/Olijfolie	1	0.9999995975	218		http://dbpedia.org/resource/Olive_oil	
seroendeng	http://nl.dbpedia.org/resource/Seroendeng	1		http://dbpedia.org/resource/Serundeng		0					
zoete chilisaus		0			http://nl.dbpedia.org/resource/Chilisaus	1	0.9999999931	20		http://dbpedia.org/resource/Hot_sauce	
suiker		0			http://nl.dbpedia.org/resource/Tafelsuiker	1	0.678746404	664		http://dbpedia.org/resource/Sugar	
kappertjes		0			http://nl.dbpedia.org/resource/Kappertje	1	0.999999123	38		http://dbpedia.org/resource/Caper	
geitenkaas	http://nl.dbpedia.org/resource/Geitenkaas	1		http://dbpedia.org/resource/Goat_cheese	http://nl.dbpedia.org/resource/Geitenkaas	1	0.9999995161	33		http://dbpedia.org/resource/Goat_cheese	
olie	http://nl.dbpedia.org/resource/Olie	1		http://dbpedia.org/resource/Oil		0					
mozzarella	http://nl.dbpedia.org/resource/Mozzarella	1		http://dbpedia.org/resource/Mozzarella	http://nl.dbpedia.org/resource/Mozzarella	1	0.999999817	64		http://dbpedia.org/resource/Mozzarella	
melk		0			http://nl.dbpedia.org/resource/Koemelk	1	0.9475025664	322			
bosuitjes		0				0					
zonnebloemolie	http://nl.dbpedia.org/resource/Zonnebloemolie	1		http://dbpedia.org/resource/Sunflower_oil	http://nl.dbpedia.org/resource/Zonnebloemolie	1	0.9999986833	37		http://dbpedia.org/resource/Sunflower_oil	
geraspte kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999981798	1212		http://dbpedia.org/resource/Cheese	
balsamicoazijn	http://nl.dbpedia.org/resource/Balsamicoazijn	1		http://dbpedia.org/resource/Balsamic_vinegar	http://nl.dbpedia.org/resource/Balsamicoazijn	0	0.9999994843	25		http://dbpedia.org/resource/Balsamic_vinegar	
walnoten		0			http://nl.dbpedia.org/resource/Juglans	1	0.9992067561	61		http://dbpedia.org/resource/Juglans	
zachte geitenkaas		0			http://nl.dbpedia.org/resource/Geitenkaas	1	0.9999999937	33		http://dbpedia.org/resource/Goat_cheese	
aardbeien		0				0					
tijm	http://nl.dbpedia.org/resource/Tijm	1	Thymus	http://dbpedia.org/resource/Thymus_(plant)	http://nl.dbpedia.org/resource/Tijm	1	0.9999974682	117	Thymus	http://dbpedia.org/resource/Thymus_(plant)	
pittige kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999920665	1212		http://dbpedia.org/resource/Cheese	
amandelschaafsel		0				0					
water	http://nl.dbpedia.org/resource/Water	1		http://dbpedia.org/resource/Water		0					
veldsla	http://nl.dbpedia.org/resource/Veldsla	1		http://dbpedia.org/resource/Valerianella_locusta	http://nl.dbpedia.org/resource/Veldsla	1	0.999991507	23		http://dbpedia.org/resource/Valerianella_locusta	
kropsla		0			http://nl.dbpedia.org/resource/Sla	1	0.9999991041	150	Lactuca	http://dbpedia.org/resource/Lettuce	
pure chocolade		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999662	527		http://dbpedia.org/resource/Chocolate	
waterkers	http://nl.dbpedia.org/resource/Waterkers	1		http://dbpedia.org/resource/Rorippa	http://nl.dbpedia.org/resource/Waterkers	1	0.9287014679	36		http://dbpedia.org/resource/Rorippa	
tuinerwten		0				0					
witte kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9990303001	1212		http://dbpedia.org/resource/Cheese	
citroen		0			http://nl.dbpedia.org/resource/Citroen_(vrucht)	1	0.9956489424	228	Citrus limon	http://dbpedia.org/resource/Lemon	
chilipeper	http://nl.dbpedia.org/resource/Chilipeper	1		http://dbpedia.org/resource/Chili_pepper	http://nl.dbpedia.org/resource/Chilipeper	1	0.9999986954	117		http://dbpedia.org/resource/Chili_pepper	
pistachenoten		0				0					
honing-mosterddressing		0				0					
mayonaise	http://nl.dbpedia.org/resource/Mayonaise	1		http://dbpedia.org/resource/Mayonnaise	http://nl.dbpedia.org/resource/Mayonaise	1	0.9999991311	115		http://dbpedia.org/resource/Mayonnaise	
mascarpone	http://nl.dbpedia.org/resource/Mascarpone	1		http://dbpedia.org/resource/Mascarpone	http://nl.dbpedia.org/resource/Mascarpone	1	0.9999997535	11		http://dbpedia.org/resource/Mascarpone	
selderij	http://nl.dbpedia.org/resource/Selderij	1		http://dbpedia.org/resource/Celery	http://nl.dbpedia.org/resource/Selderij	1	0.9963038964	76		http://dbpedia.org/resource/Celery	
citroensap		0			http://nl.dbpedia.org/resource/Citroen_(vrucht)	0	0.9956489424	228	Citrus limon	http://dbpedia.org/resource/Lemon	
zalmfilet		0				0					
bosuitje		0				0					
roomboter		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975874451	412		http://dbpedia.org/resource/Butter	
gebakken uitjes		0				0					
gembersiroop		0				0					
oregano	http://nl.dbpedia.org/resource/Oregano	1		http://dbpedia.org/resource/Oregano_(disambiguation)	http://nl.dbpedia.org/resource/Wilde_marjolein	1	0.9999986819	80	Origanum vulgare	http://dbpedia.org/resource/Oregano	
tomaten		0			http://nl.dbpedia.org/resource/Tomaat	1	0.9999986758	452	Solanum lycopersicum	http://dbpedia.org/resource/Tomato	
bloem		0			http://nl.dbpedia.org/resource/Bloem_(plant)	0	0.9879203562	3889		http://dbpedia.org/resource/Flower	
broccoli	http://nl.dbpedia.org/resource/Broccoli	1	Brassica oleracea convar. botrytis var. cymosa	http://dbpedia.org/resource/Broccoli	http://nl.dbpedia.org/resource/Broccoli	1	0.9999976676	76	Brassica oleracea convar. botrytis var. cymosa	http://dbpedia.org/resource/Broccoli	
rozemarijn	http://nl.dbpedia.org/resource/Rozemarijn	1		http://dbpedia.org/resource/Rosemary_(disambiguation)	http://nl.dbpedia.org/resource/Rozemarijn_(plant)	1	0.9867143392	74	Rosmarinus officinalis	http://dbpedia.org/resource/Rosemary	
Japanse sojasaus		0			http://nl.dbpedia.org/resource/Sojasaus	1	0.9943221631	67		http://dbpedia.org/resource/Soy_sauce	
cherrytomaten		0				0					
pijnboompitten		0				0					
gemalen belegen kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999252387	1212		http://dbpedia.org/resource/Cheese	
kippenbouillon		0				0					
Hollandse garnalen		0			http://nl.dbpedia.org/resource/Garnalen	1	0.9999696472	3679	Caridea	http://dbpedia.org/resource/Caridea	
cacaopoeder	http://nl.dbpedia.org/resource/Cacaopoeder	1		http://dbpedia.org/resource/Cocoa_solids	http://nl.dbpedia.org/resource/Cacaopoeder	1	0.9999990307	82		http://dbpedia.org/resource/Cocoa_solids	
nootmuskaat	http://nl.dbpedia.org/resource/Nootmuskaat	1		http://dbpedia.org/resource/Nutmeg	http://nl.dbpedia.org/resource/Nootmuskaat	1	0.9999983246	141		http://dbpedia.org/resource/Nutmeg	
kraanwater		0				0					
sojasaus	http://nl.dbpedia.org/resource/Sojasaus	1		http://dbpedia.org/resource/Soy_sauce	http://nl.dbpedia.org/resource/Sojasaus	1	0.9842237951	67		http://dbpedia.org/resource/Soy_sauce	
cashewnoten		0			http://nl.dbpedia.org/resource/Cashewnoot	1	0.9999990934	35			
bosui	http://nl.dbpedia.org/resource/Bosui	1		http://dbpedia.org/resource/Scallion	http://nl.dbpedia.org/resource/Bosui	1	0.9999986853	22		http://dbpedia.org/resource/Scallion	
kokosmelk		0			http://nl.dbpedia.org/resource/Klappermelk	1	0.9999991177	31		http://dbpedia.org/resource/Coconut_milk	
paneermeel	http://nl.dbpedia.org/resource/Paneermeel	1		http://dbpedia.org/resource/Bread_crumbs	http://nl.dbpedia.org/resource/Paneermeel	1	0.9999985789	33		http://dbpedia.org/resource/Bread_crumbs	
zwarte olijven zonder pit		0			http://nl.dbpedia.org/resource/Olijf	1	0.999999973	328	Olea europaea	http://dbpedia.org/resource/Olive	
tuinkers	http://nl.dbpedia.org/resource/Tuinkers	1		http://dbpedia.org/resource/Garden_cress	http://nl.dbpedia.org/resource/Tuinkers	1	0.9999992134	23		http://dbpedia.org/resource/Garden_cress	
paprikapoeder	http://nl.dbpedia.org/resource/Paprikapoeder	1		http://dbpedia.org/resource/Paprika	http://nl.dbpedia.org/resource/Paprikapoeder	1	0.9999986264	15		http://dbpedia.org/resource/Paprika	
limoen	http://nl.dbpedia.org/resource/Limoen	1		http://dbpedia.org/resource/Lime_(fruit)	http://nl.dbpedia.org/resource/Limoen	1	0.999999225	125		http://dbpedia.org/resource/Lime_(fruit)	
balsamicodressing		0				0					
rozijnen		0				0					
Grana Padano	http://nl.dbpedia.org/resource/Grana_Padano	1		http://dbpedia.org/resource/Grana_Padano		0					
geraspte belegen kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999996706	1212		http://dbpedia.org/resource/Cheese	
extra vierge olijfolie		0			http://nl.dbpedia.org/resource/Olijfolie	1	0.9999995975	218		http://dbpedia.org/resource/Olive_oil	
rucolasla		0				0					
ketjap manis		0			http://nl.dbpedia.org/resource/Ketjap	1	0.9999985516	19		http://dbpedia.org/resource/Sweet_soy_sauce	
arachideolie		0			http://nl.dbpedia.org/resource/Pindaolie	1	0.9999988701	22		http://dbpedia.org/resource/Peanut_oil	
ricotta	http://nl.dbpedia.org/resource/Ricotta	1		http://dbpedia.org/resource/Ricotta	http://nl.dbpedia.org/resource/Ricotta	1	0.9999997583	19		http://dbpedia.org/resource/Ricotta	
droge witte wijn		0			http://nl.dbpedia.org/resource/Witte_wijn	1	1	157		http://dbpedia.org/resource/White_wine	
oude kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9995700863	1212		http://dbpedia.org/resource/Cheese	
gezouten pinda's		0				0					
sesamzaad		0			http://nl.dbpedia.org/resource/Sesam	1	0.9999990375	84		http://dbpedia.org/resource/Sesame	
taugé	http://nl.dbpedia.org/resource/Taugé	1		http://dbpedia.org/resource/Bean_sprout	http://nl.dbpedia.org/resource/Taugé	1	0.9525453154	20		http://dbpedia.org/resource/Bean_sprout	
tortillachips	http://nl.dbpedia.org/resource/Tortillachips	1		http://dbpedia.org/resource/Tortilla_chip		0					
Pecorino Romano		0			http://nl.dbpedia.org/resource/Pecorino	1	1	40		http://dbpedia.org/resource/Pecorino	
brood	http://nl.dbpedia.org/resource/Brood	1		http://dbpedia.org/resource/Bread		0					
zure room		0			http://nl.dbpedia.org/resource/Zure_room	1	1	34		http://dbpedia.org/resource/Sour_cream	
grof zeezout		0			http://nl.dbpedia.org/resource/Zeezout	1	0.9999986086	119		http://dbpedia.org/resource/Sea_salt	
ei		0				0					
zeezout	http://nl.dbpedia.org/resource/Zeezout	1		http://dbpedia.org/resource/Sea_salt	http://nl.dbpedia.org/resource/Zeezout	1	0.9999986086	119		http://dbpedia.org/resource/Sea_salt	
blauwaderkaas		0			http://nl.dbpedia.org/resource/Blauwschimmelkaas	1	0.9800710273	49		http://dbpedia.org/resource/Blue_cheese	
knoflooksaus		0				0					
honing	http://nl.dbpedia.org/resource/Honing	1		http://dbpedia.org/resource/Honey	http://nl.dbpedia.org/resource/Honing	1	0.9999984017	468		http://dbpedia.org/resource/Honey	
stokbrood	http://nl.dbpedia.org/resource/Stokbrood	1		http://dbpedia.org/resource/Baguette	http://nl.dbpedia.org/resource/Stokbrood	1	0.9999985414	41		http://dbpedia.org/resource/Baguette	
vloeibare honing		0			http://nl.dbpedia.org/resource/Honing	1	0.9999994516	468		http://dbpedia.org/resource/Honey	
rode peper		0			http://nl.dbpedia.org/resource/Spaanse_peper	1	0.8677896216	45			
lasagnebladen		0				0					
yoghurt	http://nl.dbpedia.org/resource/Yoghurt	1		http://dbpedia.org/resource/Yogurt	http://nl.dbpedia.org/resource/Yoghurt	1	0.9999990338	175		http://dbpedia.org/resource/Yogurt	
roomkaas	http://nl.dbpedia.org/resource/Roomkaas	1		http://dbpedia.org/resource/Cream_cheese	http://nl.dbpedia.org/resource/Roomkaas	1	0.9999997418	14		http://dbpedia.org/resource/Cream_cheese	
blauwe bessen		0				0					
geraspte jonge kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999991918	1212		http://dbpedia.org/resource/Cheese	
appel	http://nl.dbpedia.org/resource/Appel	1		http://dbpedia.org/resource/Appel	http://nl.dbpedia.org/resource/Appel_(vrucht)	1	0.8972984549	536		http://dbpedia.org/resource/Apple	
ijsbergsla		0			http://nl.dbpedia.org/resource/IJsbergsla	1	0.9999985931	22			
kabeljauwfilet		0				0					
ongezouten cashewnoten		0			http://nl.dbpedia.org/resource/Cashewnoot	1	0.9999990934	35			
kroepoek	http://nl.dbpedia.org/resource/Kroepoek	1		http://dbpedia.org/resource/Krupuk	http://nl.dbpedia.org/resource/Kroepoek	1	0.9999976337	21		http://dbpedia.org/resource/Krupuk	
geraspte pittige kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999999776	1212		http://dbpedia.org/resource/Cheese	
yoghurtdressing		0				0					
witte kaasblokjes		0				0					
grove mosterd		0			http://nl.dbpedia.org/resource/Mosterd	1	0.999961085	187		http://dbpedia.org/resource/Mustard_(condiment)	
belegen kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9998833338	1212		http://dbpedia.org/resource/Cheese	
gezouten cashewnoten		0			http://nl.dbpedia.org/resource/Cashewnoot	1	0.9999990934	35			
groene olijven		0			http://nl.dbpedia.org/resource/Olijf	1	0.9999997727	328	Olea europaea	http://dbpedia.org/resource/Olive	
piccalilly	http://nl.dbpedia.org/resource/Piccalilly	1		http://dbpedia.org/resource/Piccalilli	http://nl.dbpedia.org/resource/Piccalilly	1	0.9999993839	12		http://dbpedia.org/resource/Piccalilli	
bleekselderij		0			http://nl.dbpedia.org/resource/Bleekselderij	1	0.9999990215	28			
slagroomijs		0				0					
sesamolie	http://nl.dbpedia.org/resource/Sesamolie	1		http://dbpedia.org/resource/Sesame_oil	http://nl.dbpedia.org/resource/Sesamolie	1	0.941153191	12		http://dbpedia.org/resource/Sesame_oil	
kipfilet		0			http://nl.dbpedia.org/resource/Kipfilet	1	0.9999971687	13			
mosterd	http://nl.dbpedia.org/resource/Mosterd	1		http://dbpedia.org/resource/Mustard_(condiment)	http://nl.dbpedia.org/resource/Mosterd	1	0.9991867575	187		http://dbpedia.org/resource/Mustard_(condiment)	
kookroom		0				0					
gemalen kokos		0				0					
gerookte kipfilet		0			http://nl.dbpedia.org/resource/Kipfilet	1	0.9999999939	13			
salie		0			http://nl.dbpedia.org/resource/Echte_salie	1	0.9952452452	17		http://dbpedia.org/resource/Salvia_officinalis	
pecannoten		0			http://nl.dbpedia.org/resource/Pecannoot	1	0.9999986973	21		http://dbpedia.org/resource/Pecan	
geraspte oude kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9999987856	1212		http://dbpedia.org/resource/Cheese	
courgette	http://nl.dbpedia.org/resource/Courgette	1		http://dbpedia.org/resource/Zucchini	http://nl.dbpedia.org/resource/Courgette	1	0.9999989056	52		http://dbpedia.org/resource/Zucchini	
witte basterdsuiker		0			http://nl.dbpedia.org/resource/Basterdsuiker	1	0.9999999239	44		http://dbpedia.org/resource/Brown_sugar	
Italiaanse kruiden		0			http://nl.dbpedia.org/resource/Italië	0	0.9993958779	42034		http://dbpedia.org/resource/Italy	
komkommer		0			http://nl.dbpedia.org/resource/Komkommer	1	0.9999992339	207			
kaneel	http://nl.dbpedia.org/resource/Kaneel	1	Cinnamomum verum	http://dbpedia.org/resource/Cinnamon	http://nl.dbpedia.org/resource/Kaneel	1	0.9999984193	247	Cinnamomum verum	http://dbpedia.org/resource/Cinnamon	
eikenbladslamelange		0				0					
vissaus	http://nl.dbpedia.org/resource/Vissaus	1		http://dbpedia.org/resource/Fish_sauce	http://nl.dbpedia.org/resource/Vissaus	1	0.9999985358	28		http://dbpedia.org/resource/Fish_sauce	
atjar tjampoer		0			http://nl.dbpedia.org/resource/Atjar	1	1	12		http://dbpedia.org/resource/Acar	
aardappelpuree	http://nl.dbpedia.org/resource/Aardappelpuree	1		http://dbpedia.org/resource/Mashed_potato	http://nl.dbpedia.org/resource/Aardappelpuree	1	0.9999990175	39		http://dbpedia.org/resource/Mashed_potato	
gemalen jonge kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9998166145	1212		http://dbpedia.org/resource/Cheese	
gedroogde tijm		0			http://nl.dbpedia.org/resource/Tijm	1	0.9999974682	117	Thymus	http://dbpedia.org/resource/Thymus_(plant)	
gorgonzola		0			http://nl.dbpedia.org/resource/Gorgonzola_(kaas)	1	0.9601391656	24		http://dbpedia.org/resource/Gorgonzola	
ketchup	http://nl.dbpedia.org/resource/Ketchup	1		http://dbpedia.org/resource/Ketchup	http://nl.dbpedia.org/resource/Ketchup	1	0.9999989673	64		http://dbpedia.org/resource/Ketchup	
granaatappelpitjes		0				0					
ontbijtspek		0			http://nl.dbpedia.org/resource/Ontbijtspek	1	0.9999999138	22			
sambal oelek		0				0					
ongezouten pinda's		0				0					
halfvolle melk		0			http://nl.dbpedia.org/resource/Koemelk	1	0.9475025664	322			
sladressing naturel		0				0					
koude boter		0			http://nl.dbpedia.org/resource/Boter_(zuivel)	1	0.9975609982	412		http://dbpedia.org/resource/Butter	
peen julienne		0				0					
roomijs	http://nl.dbpedia.org/resource/Roomijs	1		http://dbpedia.org/resource/Ice_cream	http://nl.dbpedia.org/resource/Roomijs	1	0.999999644	41		http://dbpedia.org/resource/Ice_cream	
gerookt ontbijtspek		0			http://nl.dbpedia.org/resource/Ontbijtspek	1	0.9999999138	22			
linzen		0				0					
azijn	http://nl.dbpedia.org/resource/Azijn	1		http://dbpedia.org/resource/Vinegar	http://nl.dbpedia.org/resource/Azijn	1	0.9999988485	261		http://dbpedia.org/resource/Vinegar	
groene pesto		0			http://nl.dbpedia.org/resource/Pesto	1	0.9999997481	24		http://dbpedia.org/resource/Pesto	
rietsuiker		0			http://nl.dbpedia.org/resource/Rietsuiker	1	0.9931413089	103			
rode paprika		0			http://nl.dbpedia.org/resource/Paprika	1	0.9999998315	150		http://dbpedia.org/resource/Bell_pepper	
gemalen oude kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9997244746	1212		http://dbpedia.org/resource/Cheese	
kikkererwten		0				0					
garneeramandelen		0				0					
tabasco	http://nl.dbpedia.org/resource/Tabasco	1		http://dbpedia.org/resource/Tabasco_(disambiguation)	http://nl.dbpedia.org/resource/Tabasco_(saus)	1	0.9414222564	41		http://dbpedia.org/resource/Tabasco_sauce	
ananasstukjes		0				0					
sladressing balsamico		0			http://nl.dbpedia.org/resource/Balsamicoazijn	1	0.9999998048	25		http://dbpedia.org/resource/Balsamic_vinegar	
rode ui		0			http://nl.dbpedia.org/resource/Ui_(plant)	1	0.9999992527	418	Allium cepa	http://dbpedia.org/resource/Onion	
geraspte Parmezaanse kaas		0			http://nl.dbpedia.org/resource/Parmezaanse_kaas	1	1	30		http://dbpedia.org/resource/Parmigiano-Reggiano	
zout		0				0					
vleesfond		0				0					
kaneelpoeder		0				0					
zelfrijzend bakmeel		0				0					
tomatenblokjes		0				0					
soepstengels		0				0					
bladerdeeg	http://nl.dbpedia.org/resource/Bladerdeeg	1		http://dbpedia.org/resource/Puff_pastry	http://nl.dbpedia.org/resource/Bladerdeeg	1	0.9999989157	50		http://dbpedia.org/resource/Puff_pastry	
kookroom light		0				0					
achterham		0				0					
karnemelk	http://nl.dbpedia.org/resource/Karnemelk	1		http://dbpedia.org/resource/Buttermilk	http://nl.dbpedia.org/resource/Karnemelk	1	0.9999991536	81		http://dbpedia.org/resource/Buttermilk	
mierikswortel		0				0					
geroosterde sesamzaadjes		0				0					
rucola slamelange		0			http://nl.dbpedia.org/resource/Zwaardherik	1	0.9999966165	21			
hazelnoten		0			http://nl.dbpedia.org/resource/Corylus	1	0.9995308096	83		http://dbpedia.org/resource/Hazel	
mangochutney		0			http://nl.dbpedia.org/resource/Chutney	1	0.9601391656	24		http://dbpedia.org/resource/Chutney	
radijs		0			http://nl.dbpedia.org/resource/Radijs	1	0.9999988373	70			
limoensap		0				0					
appelstroop	http://nl.dbpedia.org/resource/Appelstroop	1		http://dbpedia.org/resource/Apple_butter	http://nl.dbpedia.org/resource/Appelstroop	1	0.9999994294	25		http://dbpedia.org/resource/Apple_butter	
rivierkreeftjes		0				0					
amandelen		0			http://nl.dbpedia.org/resource/Keelamandel	0	0.919600494	48		http://dbpedia.org/resource/Tonsil	
ijsklontjes		0				0					
gemalen komijn		0			http://nl.dbpedia.org/resource/Komijn	1	0.9999999062	87	Cuminum cyminum	http://dbpedia.org/resource/Cumin	
volkorenbrood	http://nl.dbpedia.org/resource/Volkorenbrood	1		http://dbpedia.org/resource/Brown_bread	http://nl.dbpedia.org/resource/Volkorenbrood	1	0.9999986067	26		http://dbpedia.org/resource/Brown_bread	
gerookte kipreepjes		0				0					
roze garnalen		0			http://nl.dbpedia.org/resource/Garnalen	1	0.999976212	3679	Caridea	http://dbpedia.org/resource/Caridea	
vanilleroomijs		0				0					
sinaasappel	http://nl.dbpedia.org/resource/Sinaasappel	1	Citrus sinensis	http://dbpedia.org/resource/Citrus_×_sinensis	http://nl.dbpedia.org/resource/Sinaasappel	1	0.9999984811	281	Citrus sinensis	http://dbpedia.org/resource/Citrus_×_sinensis	
cheddar	http://nl.dbpedia.org/resource/Cheddar	1		http://dbpedia.org/resource/Cheddar	http://nl.dbpedia.org/resource/Cheddar_(kaas)	1	0.9501721512	19		http://dbpedia.org/resource/Cheddar_cheese	
mihoen	http://nl.dbpedia.org/resource/Mihoen	1		http://dbpedia.org/resource/Rice_vermicelli		0					
hüttenkäse	http://nl.dbpedia.org/resource/Hüttenkäse	1		http://dbpedia.org/resource/Cottage_cheese		0					
gemalen kaneel		0			http://nl.dbpedia.org/resource/Kaneel	1	0.9999998958	247	Cinnamomum verum	http://dbpedia.org/resource/Cinnamon	
volle melk		0			http://nl.dbpedia.org/resource/Melk_(drank)	1	0.9999999614	841		http://dbpedia.org/resource/Milk	
geitenkaas naturel 55+		0			http://nl.dbpedia.org/resource/Geitenkaas	1	0.9999995161	33		http://dbpedia.org/resource/Goat_cheese	
winterpeen		0			http://nl.dbpedia.org/resource/Wortel_(groente)	1	0.9922155888	127		http://dbpedia.org/resource/Carrot	
sperziebonen		0			http://nl.dbpedia.org/resource/Sperzieboon	1	0.9999986564	63		http://dbpedia.org/resource/Green_bean	
rode wijn		0			http://nl.dbpedia.org/resource/Rode_wijn	1	0.9999999999	181		http://dbpedia.org/resource/Red_wine	
olijfolie frisse citroen		0			http://nl.dbpedia.org/resource/Olijfolie	1	0.9999999958	218		http://dbpedia.org/resource/Olive_oil	
kerriepoeder		0				0					
pompoenpitten		0				0					
satésaus		0			http://nl.dbpedia.org/resource/Pindasaus	1	0.9999985726	20		http://dbpedia.org/resource/Peanut_sauce	
roomboterbladerdeeg		0				0					
gemalen kaas		0			http://nl.dbpedia.org/resource/Kaas	1	0.9995870644	1212		http://dbpedia.org/resource/Cheese	
sesamzaadjes		0				0					
olie om in te vetten		0				0					
pesto	http://nl.dbpedia.org/resource/Pesto	1		http://dbpedia.org/resource/Pesto	http://nl.dbpedia.org/resource/Pesto	1	0.9999997481	24		http://dbpedia.org/resource/Pesto	
jumbogarnalen		0				0					
roomkaas met kruiden		0			http://nl.dbpedia.org/resource/Roomkaas	1	0.9999997418	14		http://dbpedia.org/resource/Cream_cheese	
fruits de mer		0				0					
gember		0			http://nl.dbpedia.org/resource/Gember	1	0.9999989796	148			
blanke rozijnen		0				0					
cayennepeper	http://nl.dbpedia.org/resource/Cayennepeper	1		http://dbpedia.org/resource/Cayenne_pepper	http://nl.dbpedia.org/resource/Cayennepeper	1	0.9999990991	26		http://dbpedia.org/resource/Cayenne_pepper	
geleisuiker	http://nl.dbpedia.org/resource/Geleisuiker	1		http://dbpedia.org/resource/Gelling_sugar		0					
gedroogde dragon		0				0					
aardappelschijfjes		0				0					
gesneden andijvie		0			http://nl.dbpedia.org/resource/Andijvie	1	0.9999974064	57	Cichorium endivia	http://dbpedia.org/resource/Endive	
gerookte zalmfilet		0				0					
prosecco	http://nl.dbpedia.org/resource/Prosecco	1		http://dbpedia.org/resource/Prosecco	http://nl.dbpedia.org/resource/Prosecco	1	0.9999996275	35		http://dbpedia.org/resource/Prosecco	
ijsblokjes		0				0					
naanbrood		0				0					
tacosaus mild		0				0					
