Ingredient	DBpedia_link_via_stringmatch	Judgment_stringmatch	Scientific_name_via_stringmatch	dbpedia-en_via_stringmatch	DBpedia_via_spotlight	Judgment_spotlight	spotlight_conf	spotlight_support	Scientific_name_via_spotlight	dbpedia-en_via_spotlight	
amandelmelk	http://nl.dbpedia.org/resource/Amandelmelk	1		http://dbpedia.org/resource/Almond_milk		0					
Ardennerpaté		0				0					
varkenssaucijs		0				0					
maïscrackers		0				0					
nacho chips naturel		0				0					
mayonaise met yoghurt		0			http://nl.dbpedia.org/resource/Mayonaise	1	0.9999999938	115		http://dbpedia.org/resource/Mayonnaise	
Nutella	http://nl.dbpedia.org/resource/Nutella	1		http://dbpedia.org/resource/Nutella	http://nl.dbpedia.org/resource/Nutella	1	0.9999993541	16		http://dbpedia.org/resource/Nutella	
bloemkoolroosjes		0				0					
oven roasted pinda's		0				0					
pekelborst		0				0					
aardappelrösties		0				0					
cacaonibs		0				0					
hüttenkäse bieslook-peterselie		0				0					
vijgen en zaden flatbreads		0			http://nl.dbpedia.org/resource/Vijgenboom	1	0.6590810943	67		http://dbpedia.org/resource/Common_fig	
sardines in water		0				0					
shoarmakruiden		0				0					
rode druiven		0				0					
countrykoekjes		0				0					
gepaneerde filets		0			http://nl.dbpedia.org/resource/Paneermeel	1	0.9999970395	33		http://dbpedia.org/resource/Bread_crumbs	
tomatenbouillon		0				0					
Mentos minis		0			http://nl.dbpedia.org/resource/Mentos	1	0.9999989559	23		http://dbpedia.org/resource/Mentos	
wortel zoetzuur		0			http://nl.dbpedia.org/resource/Wortel_(plant)	1	0.6558980315	830		http://dbpedia.org/resource/Root	
meringue vanille en aardbei*		0			http://nl.dbpedia.org/resource/Meringue	1	0.9999997617	26		http://dbpedia.org/resource/Meringue	
gemalen piment		0			http://nl.dbpedia.org/resource/Piment	1	0.9999989435	34		http://dbpedia.org/resource/Allspice	
klop-fix		0				0					
krokante muesli vruchten en noten		0			http://nl.dbpedia.org/resource/Muesli	1	0.9999999999	24		http://dbpedia.org/resource/Muesli	
Mexicaanse salsa		0			http://nl.dbpedia.org/resource/Mexico_(land)	0	0.9984879118	13008		http://dbpedia.org/resource/Mexico	
knoflookcroutons		0				0					
chocolade roomijs		0			http://nl.dbpedia.org/resource/Chocolade	1	0.9999999984	527		http://dbpedia.org/resource/Chocolate	
eendenborsten		0				0					
tonijn in water		0			http://nl.dbpedia.org/resource/Tonijn	1	0.9999993576	176		http://dbpedia.org/resource/Thunnus	
dessertsaus aardbeien		0				0					
kleine aardbei		0			http://nl.dbpedia.org/resource/Aardbei	1	0.999999506	239	Fragaria	http://dbpedia.org/resource/Fragaria	
citroensap of fruitlikeur bijv. crème de cassis		0			http://nl.dbpedia.org/resource/Citroen_(vrucht)	1	0.9956489424	228	Citrus limon	http://dbpedia.org/resource/Lemon	
cranberrypaté		0				0					
lamsfilet		0				0					
belegen Goudse kaas		0			http://nl.dbpedia.org/resource/Goudse_kaas	1	0.9999999997	51		http://dbpedia.org/resource/Gouda_cheese	
mix voor spaghetti bolognese		0			http://nl.dbpedia.org/resource/Spaghetti	1	0.9999999964	74		http://dbpedia.org/resource/Spaghetti	
roomyoghurt aardbei		0			http://nl.dbpedia.org/resource/Aardbei	1	0.9999991367	239	Fragaria	http://dbpedia.org/resource/Fragaria	
Grana Pardano		0				0					
geroosterde rode paprika's		0				0					
Griekse salade		0				0					
hertenbiefstuk		0				0					
lichtbruin brood		0				0					
koelverse pandanrijst		0				0					
imitatiekaviaar		0				0					
halvanaise		0				0					
gemalen chilipeper		0			http://nl.dbpedia.org/resource/Chilipeper	1	0.9999999765	117		http://dbpedia.org/resource/Chili_pepper	
kalkoenbiefstuk		0				0					
Hollands	http://nl.dbpedia.org/resource/Hollands	0		http://dbpedia.org/resource/Hollands		0					
